개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세업무구분명,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3000000,300000004920180006,2018-08-31,,취소/말소/만료/정지/중지,2023-11-01,,,,0,,03097,이쁜아이,I,000,2026-05-05 22:33:04,서울특별시 종로구 창신길 ** (창신동),,말소,0004,04,,200857.831022769    ,452546.949041533    ,서울특별시 종로구 창신동 ***-* ,2023-11-01 14:44:52
3000000,300000004920230003,2023-05-16,,영업/정상,,,,,0,,03017,그루밍친친,I,000,2026-05-05 22:33:04,"서울특별시 종로구 세검정로 ***, *층 (홍지동)",,정상,0000,01,,196270.356236082    ,455330.689123978    ,서울특별시 종로구 홍지동 **-* ,2023-05-16 15:20:48
3000000,300000004920180017,2018-10-18,,취소/말소/만료/정지/중지,2023-06-14,,,,0,,03126,미션코리아,I,000,2026-05-05 22:33:04,"서울특별시 종로구 대학로 **, *층 (효제동)",,말소,0004,04,,200126.766304313    ,452265.173517838    ,서울특별시 종로구 효제동 ***-* ,2023-06-14 09:42:44
3000000,300000004920260002,2026-06-19,,영업/정상,,,,,0,,03007,아띠랑,I,000,2026-06-20 22:32:50,"서울특별시 종로구 진흥로 ***, 인왕빌딩 *층 ***호 (구기동)",,정상,0000,01,,196188.676804345    ,456211.92274867     ,서울특별시 종로구 구기동 **-* 인왕빌딩 ,2026-06-19 09:26:16
3000000,300000004920260001,2026-05-08,,영업/정상,,,,,0,,03082,대학로 애견카페,I,000,2026-05-09 23:29:05,"서울특별시 종로구 대학로 **, *층 (연건동)",,정상,0000,01,,200099.032850302    ,452925.449270507    ,서울특별시 종로구 연건동 ** ,2026-05-08 09:22:16
3000000,300000004920190005,2019-05-10,,폐업,2024-06-18,,,,0,,03075,퍼피댕 강아지분양 안심분양소 애견입양 서울종로점 말티푸,I,000,2026-05-05 22:33:04,"서울특별시 종로구 혜화로*길 *, ***동 상가 ***호 (명륜*가, 명륜동주상복합아남아파트)",,폐업,0002,03,,199954.044722095    ,453701.572334399    ,서울특별시 종로구 명륜*가 *** 명륜동주상복합아남아파트 ,2024-07-15 14:32:40
3000000,300000004920190006,2019-07-24,,폐업,2023-09-26,,,,0,,03115,한국반려동물아카데미뷰티샵,I,000,2026-05-05 22:33:04,"서울특별시 종로구 종로 ***, 태정빌딩 *층 ***호 (숭인동)",,폐업,0002,03,0269593965,201809.67645682     ,452460.718015096    ,서울특별시 종로구 숭인동 ***-* 태정빌딩 ,2023-09-27 13:40:37
3000000,300000004920180008,2018-09-12,,폐업,2023-03-20,,,,0,,03007,월드펫동물병원,I,000,2026-05-05 22:33:04,서울특별시 종로구 진흥로 ***-* (신영동),,폐업,0002,03,023797575,196470.449471829    ,455970.888515918    ,서울특별시 종로구 신영동 *-** ,2023-03-20 17:39:37
3000000,300000004920180011,2018-09-21,,폐업,2022-12-28,,,,0,,03085,홍주스컵,I,000,2026-05-05 22:33:04,서울특별시 종로구 낙산길 ** (동숭동),,폐업,0002,03,,200408.419197526    ,453144.519090577    ,서울특별시 종로구 동숭동 ***-*** ,2022-12-29 17:02:18
3000000,300000004920180013,2018-10-04,,폐업,2022-12-19,,,,0,,03169,누리봄동물병원,I,000,2026-05-05 22:33:04,서울특별시 종로구 사직로**길 * (내자동),,폐업,0002,03,027357530,197374.347630839    ,452611.452584222    ,서울특별시 종로구 내자동 ***-* ,2022-12-21 09:18:34
3000000,300000004920180021,2018-12-27,,폐업,2018-12-27,,,,0,,03092,몽샵,I,000,2026-05-05 22:33:04,"서울특별시 종로구 낙산길 ***, *단지 상가동 *층 *호 (창신동, 창신쌍용아파트 *지구)",,폐업,0002,03,027430050,200971.425717609    ,453113.875178674    ,서울특별시 종로구 창신동 *** 창신쌍용아파트 *지구 ,2022-04-28 18:11:02
3000000,300000004920180002,2018-08-07,,영업/정상,,,,,0,,03109,나나애견미용,I,000,2026-05-05 22:33:03,서울특별시 종로구 지봉로 **-* (숭인동),,정상,0000,01,027654612,201319.023034253    ,452687.591012716    ,서울특별시 종로구 숭인동 **-*** ,2022-04-28 18:11:01
3000000,300000004920180003,2018-08-20,,영업/정상,,,,,0,,03169,서촌도그살롱,I,000,2026-05-05 22:33:03,"서울특별시 종로구 사직로*길 *-*, *층 ***호 (필운동)",,정상,0000,01,,197247.96898135     ,452558.984058705    ,서울특별시 종로구 필운동 *** ,2022-04-28 18:11:01
3000000,300000004920180005,2018-08-30,,영업/정상,,,,,0,,03021,북악동물병원,I,000,2026-05-05 22:33:03,서울특별시 종로구 자하문로 *** (홍지동),,정상,0000,01,023914575,196420.140799836    ,455175.041431888    ,서울특별시 종로구 홍지동 ***-* ,2022-04-28 18:11:01
3000000,300000004920180009,2018-09-13,,영업/정상,,,,,0,,03103,아지나라,I,000,2026-05-05 22:33:04,서울특별시 종로구 지봉로 **-* (창신동),,정상,0000,01,,201303.596690751    ,452530.995049842    ,서울특별시 종로구 창신동 **-* ,2022-04-28 18:11:01
