개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3000000,300000001019950002,1995-09-05,,영업/정상,,,,,53.7,,03075,대학로동물병원,I,000,2025-12-15 16:15:28,서울특별시 종로구 창경궁로 261 (명륜2가),정상,0000,01,36728441,199947.178659037    ,453593.826987348    ,서울특별시 종로구 명륜2가 5-99 1통3반 방산빌라 402호,2019-04-29 17:30:23
3000000,300000001020130007,2013-05-14,,취소/말소/만료/정지/중지,,,,,0,,03007,월드펫동물병원,I,000,2025-12-15 16:15:28,서울특별시 종로구 진흥로 473 (신영동),말소,0004,04,,196444.558512343    ,455996.128787691    ,서울특별시 종로구 신영동 249-6 ,2018-06-14 10:56:04
3000000,300000001020010001,2013-03-04,,휴업,,,,,0,,03042,효자동물병원,I,000,2025-12-15 16:15:28,서울특별시 종로구 자하문로 66-2 (효자동),휴업,0001,02,,197364.614476836    ,453303.293915738    ,서울특별시 종로구 효자동 31 ,2014-12-31 09:41:37
3000000,300000001020010002,2001-12-11,,영업/정상,,,,,0,,,해동물병원,I,000,2025-12-15 16:15:28,서울특별시 종로구 지봉로 53-1 (창신동),정상,0000,01,027449098,201300.617267399    ,452512.234050389    ,서울특별시 종로구 창신동 80-1 ,2020-11-10 13:02:15
3000000,300000001020020001,2002-10-25,,영업/정상,,,,,46.22,,03021,북악동물병원,I,000,2025-12-15 16:15:28,서울특별시 종로구 자하문로 293 (홍지동),정상,0000,01,,196420.140799836    ,455175.041431888    ,서울특별시 종로구 홍지동 127-7 5통5반 지층 3호,2019-04-29 17:31:33
3000000,300000001020060001,2006-03-27,,영업/정상,,,,,0,,,올리브동물병원,U,000,2026-05-01 03:03:03,서울특별시 종로구 자하문로 305 (홍지동),정상,0000,01,,196308.215602977    ,455218.757468473    ,서울특별시 종로구 홍지동 126-8 ,2026-04-30 11:36:05
3000000,300000001020080001,2008-03-06,,영업/정상,,,,,42.58,,,우리동물병원,I,000,2025-12-15 16:15:28,서울특별시 종로구 지봉로 96-3 (숭인동),정상,0000,01,36761190,201312.324500599    ,452934.470658927    ,서울특별시 종로구 숭인동 52-8 ,2008-03-14 10:32:57
3000000,300000001020090001,2009-07-08,,영업/정상,,,,,45,,,누리봄동물병원,I,000,2025-12-15 16:15:28,서울특별시 종로구 사직로12길 2 (내자동),정상,0000,01,027357530,197374.347630839    ,452611.452584222    ,서울특별시 종로구 내자동 125-3 ,2009-07-08 11:53:36
3000000,300000001019750001,1975-05-06,,폐업,2013-03-07,,,,0,,,홍수의과병원,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,서울특별시 종로구 연건동 188 ,2013-04-01 17:52:02
3000000,300000001019910001,2013-03-11,,폐업,2015-10-21,,,,0,,03030,독립문동물병원,I,000,2025-12-15 16:15:28,"서울특별시 종로구 통일로 238, 지층 (무악동)",폐업,0002,03,,,,서울특별시 종로구 무악동 ,2015-10-21 16:29:02
3000000,300000001019950001,1995-08-11,,폐업,2004-08-07,,,,20.3,,,평화동물병원,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,서울특별시 종로구 평창동 289-2    ,2004-08-07 13:01:45
3000000,300000001020040001,2004-09-08,,폐업,2007-02-26,,,,26.29,,,평창동물병원,I,000,2025-12-15 16:15:28,서울특별시 종로구 세검정로 313 (평창동),폐업,0002,03,32167582,196842.609122384    ,455844.995397014    ,서울특별시 종로구 평창동 289-2 ,2007-02-26 15:57:46
3000000,300000001020050001,2005-10-24,,폐업,2017-07-04,,,,196,,03068,성현동물병원,I,000,2025-12-15 16:15:28,서울특별시 종로구 혜화로 11 (명륜1가),폐업,0002,03,,199938.394948321    ,453805.179643767    ,서울특별시 종로구 명륜1가 135 한신1차아파트4-1506 ,2017-07-04 13:54:16
3000000,300000001020070001,2007-03-23,,폐업,2017-07-23,,,,22.21,,03008,평창동물병원,I,000,2025-12-15 16:15:28,서울특별시 종로구 평창문화로 31 (평창동),폐업,0002,03,32167582,196842.609122384    ,455844.995397014    ,서울특별시 종로구 평창동 402-17 14통2반 세방테크빌 504호,2018-10-02 11:25:09
3000000,300000001020130006,2013-03-04,,폐업,2018-10-30,,,,0,,03042,효자동물병원,I,000,2025-12-15 16:15:28,서울특별시 종로구 자하문로 66-2 (효자동),폐업,0002,03,,197364.614476836    ,453303.293915738    ,서울특별시 종로구 효자동 31 ,2018-10-30 14:52:41
3000000,300000001020160001,2016-02-11,,영업/정상,,,,,0,,03040,광화문동물병원,I,000,2025-12-15 16:15:28,"서울특별시 종로구 자하문로 35-3, 씨에스코즈빌 101호 (통인동)",정상,0000,01,,197383.197504794    ,452972.118568389    ,서울특별시 종로구 통인동 147-7 씨에스코즈빌 ,2020-07-31 15:26:29
3000000,300000001020170001,2017-11-16,,영업/정상,,,,,0,,03165,경희궁 바른 동물병원,I,000,2025-12-15 16:15:28,"서울특별시 종로구 송월길 99, 상가동 2층 2229호 (홍파동, 경희궁자이 2단지)",정상,0000,01,,196711.256846666    ,452060.860508565    ,서울특별시 종로구 홍파동 42-13 경희궁자이 2단지 상가동 2229호,2023-03-31 09:34:28
3000000,300000001020200001,2020-05-17,,영업/정상,,,,,326.5,,03032,선동물병원,I,000,2025-12-15 16:15:28,"서울특별시 종로구 자하문로 95, 신교빌딩 1층 (신교동)",정상,0000,01,027336030,197278.891939281    ,453572.355620921    ,서울특별시 종로구 신교동 70-10 ,2020-05-17 10:59:48
3000000,300000001020220001,2022-06-13,,영업/정상,,,,,136.5,,03107,폴라동물병원,I,000,2025-12-15 16:15:28,"서울특별시 종로구 낙산길 311, 지1층 (숭인동)",정상,0000,01,,201451.464239337    ,453137.690825347    ,서울특별시 종로구 숭인동 20-138 지1층 ,2022-06-13 16:55:05
3000000,300000001020230001,2023-08-21,,영업/정상,,,,,44.9,,03076,뉴욕동물병원,I,000,2025-12-15 16:15:28,"서울특별시 종로구 창경궁로35길 19, 2층 (혜화동)",정상,0000,01,027627582,200079.663985257    ,453836.098562833    ,서울특별시 종로구 혜화동 53-11 2층 ,2023-08-21 09:57:11
3000000,300000001020130001,2013-03-04,,휴업,,,,,0,,03042,효자동물병원,I,000,2025-12-15 16:15:28,서울특별시 종로구 자하문로 66-2 (효자동),휴업,0001,02,,197364.614476836    ,453303.293915738    ,서울특별시 종로구 효자동 31 ,2014-12-31 09:42:36
3000000,300000001020130002,2001-06-04,,휴업,,,,,0,,03042,효자동물병원,I,000,2025-12-15 16:15:28,서울특별시 종로구 자하문로 66-2 (효자동),휴업,0001,02,,197364.614476836    ,453303.293915738    ,서울특별시 종로구 효자동 31 ,2014-12-31 09:43:33
