개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세업무구분명,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3010000,301000004620180003,2018-05-02,,폐업,,,,,0,,04598,(주)코리아팩토리,I,L00,2026-05-10 22:33:11,"서울특별시 중구 동호로**길 **, 전진빌딩 *층 (신당동)",,폐업,0002,03,0222567112,200743.604803356    ,450138.549769796    ,서울특별시 중구 신당동 ***-* 전진빌딩 ,2022-04-28 18:11:02
3010000,301000004620160001,2018-05-31,,취소/말소/만료/정지/중지,,,,,0,,04575,이그조틱코리아,I,000,2026-05-10 22:33:10,"서울특별시 중구 퇴계로 ***, *층 ***호 (황학동, 황학 아크로타워)",,말소,0004,04,,201866.039519433    ,451543.337800303    ,서울특별시 중구 황학동 ,2022-04-28 18:11:02
3020000,302000004620130001,2013-01-18,,폐업,2016-05-31,,,,0,,04348,한남동강아지,I,L00,2026-05-09 22:33:18,서울특별시 용산구 이태원로**길 ** (한남동),,폐업,0002,03,,199780.996106991    ,448255.65839672     ,서울특별시 용산구 한남동 ***-* ,2022-04-28 18:10:59
3020000,302000004620140001,2014-02-14,,폐업,2018-06-01,,,,0,,04391,우쭈쭈,I,000,2026-05-09 22:33:18,"서울특별시 용산구 이태원로**길 **-*, *층 (이태원동)",,폐업,0002,03,62127411,199396.732140732    ,447874.334199952    ,서울특별시 용산구 이태원동 ***-** *층 ,2022-04-28 18:10:59
3020000,302000004620250001,2025-02-03,,영업/정상,,,,,0,,04359,프리제(frise),I,000,2026-05-09 22:33:19,"서울특별시 용산구 원효로 **, 상훈빌딩 (청암동)",,정상,0000,01,,195385.366085745    ,448052.919062111    ,서울특별시 용산구 청암동 **-* 상훈빌딩 ,2025-02-03 10:56:59
3050000,305000004620170002,2017-04-04,,폐업,2019-02-02,,,,0,,02625,나도그냥(ts),I,000,2026-05-09 22:03:17,서울특별시 동대문구 한천로**길 **-* (장안동),,폐업,0002,03,0233948283,205952.506670626    ,451814.915620366    ,서울특별시 동대문구 장안동 ***-* ,2022-04-28 18:10:49
3050000,305000004620200007,2020-04-27,,폐업,2024-06-30,,,,0,,02607,굿피트,I,000,2026-05-09 22:03:17,서울특별시 동대문구 답십리로 *** (답십리동),,폐업,0002,03,,205258.911999431    ,452267.221277907    ,서울특별시 동대문구 답십리동 **-** ,2026-01-07 14:39:52
3050000,305000004620150003,2015-08-19,,폐업,2020-05-15,,,,0,,02607,포캣츄,I,000,2026-05-09 22:03:17,서울특별시 동대문구 답십리로 *** (답십리동),,폐업,0002,03,,205258.911999431    ,452267.221277907    ,,2022-04-28 18:10:49
3060000,306000004620190002,2019-01-22,,폐업,2020-01-23,,,,0,,02161,굿피트,I,000,2026-05-09 22:33:27,서울특별시 중랑구 면목로**길 * (면목동),,폐업,0002,03,,207715.42283321     ,454168.625065279    ,서울특별시 중랑구 면목동 **-** ,2022-04-28 18:11:07
3060000,306000004620220001,2022-01-04,,폐업,2025-04-02,,,,0,,02137,드림독,I,000,2026-05-09 22:33:27,서울특별시 중랑구 면목로**길 **(상봉동),,폐업,0002,03,024350279,207297.39805298     ,454648.366596516    ,서울특별시 중랑구 상봉동 ***-** ,2025-04-02 17:21:39
