개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3000000,300000001320230002,2023-11-02,,취소/말소/만료/정지/중지,2023-11-02,,,,,,03137,(주)천양사의료과학,I,000,2025-12-15 16:15:28,"서울특별시 종로구 동순라길 **-*, *층 (인의동)",말소,0004,04,,199662.445551116    ,452313.713241533    ,서울특별시 종로구 인의동 ** ,2023-11-27 15:18:50
3000000,300000001320230001,2023-01-20,,폐업,2024-08-23,,,,,,03165,루원쇼핑,I,000,2025-12-15 16:15:28,"서울특별시 종로구 송월길 ***, ***호 (교북동, 동아아파트)",폐업,0002,03,,196578.438801188    ,452129.33094623     ,서울특별시 종로구 교북동 *** 동아아파트 ,2024-08-23 16:41:41
3000000,300000001319990001,1999-04-06,,영업/정상,,,,,0,,,동경메디교역상사,I,000,2025-12-15 16:15:28,,정상,0000,01,22730224,199193.286476914    ,451975.769220458    ,서울특별시 종로구 종로*가 ***-* (*층) ,2003-02-11 10:47:09
3000000,300000001320030001,2003-09-04,,영업/정상,,,,,32.99,,,(주)영동싸이언스,I,L00,2025-12-15 16:15:28,,정상,0000,01,22738489,199321.4036677      ,451985.646550196    ,서울특별시 종로구 종로*가 *** 금천빌딩*** ,2003-09-04 11:42:18
3000000,300000001320040001,2004-02-26,,영업/정상,,,,,40.2,,,(주)메드로코리아,I,L00,2025-12-15 16:15:28,,정상,0000,01,22323514,201911.136750205    ,452395.946444233    ,서울특별시 종로구 숭인동 **** 타임빌딩***호 ,2004-12-13 14:00:35
3000000,300000001320100001,2010-06-24,,영업/정상,,,,,0,,,바다르산스(주),I,000,2025-12-15 16:15:28,,정상,0000,01,,,,서울특별시 종로구 숭인동 ***-*** *층 ,2010-06-24 16:53:40
3000000,300000001320130001,2013-03-26,,영업/정상,,,,,0,,03137,(주)천양사의료과학,I,000,2025-12-15 16:15:28,"서울특별시 종로구 동순라길 **-*, *층 (인의동)",정상,0000,01,,199662.445551116    ,452313.713241533    ,서울특별시 종로구 인의동 ** ,2023-11-02 10:17:31
3000000,300000001320200001,2020-04-24,,영업/정상,,,,,,,03124,주식회사 통일의료기,I,L00,2025-12-15 16:15:28,서울특별시 종로구 종로 ***(종로*가),정상,0000,01,027411461,200683.347665068    ,452121.204130185    ,서울특별시 종로구 종로*가 **-* ,2021-09-23 10:26:44
3000000,300000001320210001,2021-01-05,,영업/정상,,,,,,,03132,(주)아이바이오사이언스,I,L00,2025-12-15 16:15:28,"서울특별시 종로구 돈화문로**가길 **, ***호 (익선동, 현대뜨레비앙)",정상,0000,01,,199052.164234663    ,452535.569961658    ,서울특별시 종로구 익선동 ** 현대뜨레비앙 ,2021-01-07 17:08:01
3000000,300000001320210002,2021-07-27,,영업/정상,,,,,,,03121,란제리하우스,I,000,2025-12-15 16:15:28,"서울특별시 종로구 지봉로 **, 삼우텍스프라자 (창신동)",정상,0000,01,,201273.887781838    ,452163.292543039    ,서울특별시 종로구 창신동 ***-** 삼우텍스프라자 ,2021-07-27 11:00:11
3000000,300000001320220001,2022-04-25,,영업/정상,,,,,,,03115,주식회사 픽서(FIxer),I,L00,2025-12-15 16:15:28,"서울특별시 종로구 종로 ***, 엘리시앙오피스텔 ***호 (숭인동)",정상,0000,01,07049194123,201687.573879734    ,452408.346754198    ,서울특별시 종로구 숭인동 ***-** 엘리시앙오피스텔 ***호,2022-04-28 16:48:29
3000000,300000001320220002,2022-05-20,,영업/정상,,,,,,,03035,(주)더던,I,L00,2025-12-15 16:15:28,"서울특별시 종로구 자하문로**길 **, *층 (신교동)",정상,0000,01,027306113,197172.192218809    ,453439.030689841    ,서울특별시 종로구 신교동 **-** *층 ,2022-05-20 10:02:50
3000000,300000001320240001,2024-05-01,,영업/정상,,,,,,,03001,한국종합교재사,I,000,2025-12-15 16:15:28,"서울특별시 종로구 비봉*길 **, B동 ***호 (구기동, 효창마운틴빌)",정상,0000,01,,196167.344360167    ,456477.932552541    ,서울특별시 종로구 구기동 ***-* 효창마운틴빌 ,2024-05-01 13:15:45
3000000,300000001320250001,2025-02-12,,영업/정상,,,,,29.75,,03197,터치앤피스,I,L00,2025-12-15 16:15:28,"서울특별시 종로구 청계천로 ***, 로얄빌딩 **층 *호 (종로*가)",정상,0000,01,,200389.95085055     ,451961.847134184    ,서울특별시 종로구 종로*가 *** 로얄빌딩 ,2025-12-01 17:02:25
3000000,300000001320250002,2025-03-11,,영업/정상,,,,,,,03131,도우통상,I,000,2025-12-15 16:15:28,"서울특별시 종로구 율곡로*길 **, *층 ***호 (운니동, 오피스텔월드)",정상,0000,01,027669302,198966.466796388    ,452608.062544497    ,서울특별시 종로구 운니동 **-* 오피스텔월드 ,2025-03-12 10:30:08
3000000,300000001320250003,2025-03-07,,영업/정상,,,,,,,03132,(주)에이치비바이오,I,L00,2025-12-15 16:15:28,"서울특별시 종로구 돈화문로**가길 **, ***호 (익선동, 현대뜨레비앙)",정상,0000,01,0236729302,199052.164234663    ,452535.569961658    ,서울특별시 종로구 익선동 ** 현대뜨레비앙 ,2025-03-12 11:09:28
