개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3000000,300000001220210001,2021-07-30,,영업/정상,,,,,0,,03184,주식회사 엘엑스판토스,I,L00,2026-05-03 22:32:41,"서울특별시 종로구 새문안로 58, LG광화문빌딩 (신문로2가)",정상,0000,01,0237712114,197413.260397461    ,451896.027279239    ,서울특별시 종로구 홍파동 92 LG광화문빌딩 ,2024-05-24 10:32:16
3000000,300000001220000001,2000-02-24,,폐업,2005-07-04,,,,115.5,,,(주)국전약품,I,000,2026-05-03 22:32:41,,폐업,0002,03,,200299.046811578    ,452229.638206671    ,서울특별시 종로구 효제동 208 ,2005-07-04 15:12:43
3010000,301000001220190001,2019-10-14,,영업/정상,,,,,0,,04527,한국베링거인겔하임동물약품(주),I,L00,2026-05-08 22:32:41,"서울특별시 중구 통일로 10, 연세대학교 세브란스빌딩 16층 (남대문로5가)",정상,0000,01,0263888406,197612.995083649    ,450539.857693464    ,서울특별시 중구 남대문로5가 84-11 연세대학교 세브란스빌딩 ,2025-05-01 15:28:45
3010000,301000001220170001,2017-09-25,,영업/정상,,,,,8013,,04637,한국엠에스디동물약품(주),I,L00,2026-05-08 22:32:41,"서울특별시 중구 한강대로 416, 22층 (남대문로5가, 서울스퀘어)",정상,0000,01,023312582,197620.676444642    ,450361.506112161    ,서울특별시 중구 남대문로5가 541 ,2024-06-20 17:15:31
3010000,301000001220080001,2008-08-22,,폐업,2010-10-04,,,,0,,,한국화이자동물약품주식회사,I,000,2026-05-08 22:32:41,,폐업,0002,03,,198531.297994629    ,450909.106572106    ,서울특별시 중구 회현동3가 1-11 화이자타워 4층 ,2010-10-04 16:55:10
3020000,302000001220070001,2007-03-27,,폐업,2015-07-13,,,,0,,04419,한국엠에스디동물약품(주),I,L00,2026-05-03 22:32:42,"서울특별시 용산구 한남대로20길 13, 수영빌딩4층 (한남동)",폐업,0002,03,027697500,200597.940803088    ,448069.782121815    ,서울특별시 용산구 한남동 64-1 수영빌딩4층 ,2015-07-13 13:13:50
3020000,302000001220080001,2008-01-21,,폐업,2008-01-21,,,,0,,,케어사이드코리아,I,000,2026-05-03 22:32:42,,폐업,0002,03,,196715.727830381    ,447010.511469994    ,서울특별시 용산구 한강로3가 40-604 ,2008-01-21 17:01:36
3020000,302000001220140001,2014-05-28,,폐업,2015-05-21,,,,0,,04384,(주)성보애니멀헬스,I,L00,2026-05-03 22:32:42,"서울특별시 용산구 서빙고로51길 15, 2층 201호 (서빙고동)",폐업,0002,03,0226716932,199092.539603512    ,446542.984322235    ,서울특별시 용산구 서빙고동 235-135 201호,2015-05-21 13:28:22
3020000,302000001220230001,2023-05-31,,폐업,2024-11-20,,,2024-11-20,0,,04365,(주)제이비즈,I,L00,2026-05-03 22:32:42,"서울특별시 용산구 원효로 70, 신정빌딩 5층 (원효로4가)",폐업,0002,03,07051586566,195653.553341643    ,447808.18379926     ,서울특별시 용산구 원효로4가 118-1 신정빌딩 ,2024-11-20 09:31:00
3020000,302000001219990001,1999-05-21,,폐업,2008-03-12,,,,36.52,,,우진양행,I,000,2026-05-03 22:32:42,,폐업,0002,03,,,,서울특별시 용산구 한강로2가 316-1 이원빌딩 603호 ,2008-03-12 14:36:43
3020000,302000001220000001,2000-12-11,,폐업,2006-12-22,,,,226,,04419,인터베트코리아(주),I,L00,2026-05-03 22:32:42,서울특별시 용산구 한남대로20길 13 (한남동),폐업,0002,03,,200597.940803088    ,448069.782121815    ,서울특별시 용산구 한남동 64-1 ,2011-10-30 13:29:38
3020000,302000001220050001,2005-08-03,,폐업,2010-07-12,,,,124.4,,,케어사이드코리아,I,000,2026-05-03 22:32:42,,폐업,0002,03,027963642,196715.727830381    ,447010.511469994    ,서울특별시 용산구 한강로3가 40-604 B동 2층 ,2010-07-12 11:24:52
3030000,303000001219810001,1981-04-18,,폐업,2006-07-31,,,,0,,,(주)이-글벳,I,L00,2026-05-07 22:36:21,,폐업,0002,03,,205328.899267705    ,449397.07280351     ,서울특별시 성동구 성수동2가 278-20 ,2006-07-31 15:39:17
