개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,축산물가공업구분명,축산업무구분명,축산일련번호,최종수정시점
3000000,300000003420200003,2020-10-19,,영업/정상,,,,,0,,03010,츄츄(chu chu),단미,I,000,2026-05-03 22:33:44,"서울특별시 종로구 평창문화로 154, 안성빌딩 2층 (평창동)",정상,0000,01,,197865.966333333    ,456429.344666667    ,서울특별시 종로구 평창동 106-2 안성빌딩 2층 ,단미,사료제조업,,2023-04-12 10:48:28
3000000,300000003420240001,2024-03-12,,영업/정상,,,,,0,,03115,(주)한국반려동물아카데미,배합,I,L00,2026-05-03 22:33:45,"서울특별시 종로구 종로 394, 태정빌딩 203호 (숭인동)",정상,0000,01,,201809.67645682     ,452460.718015096    ,서울특별시 종로구 숭인동 200-6 태정빌딩 ,배합,사료제조업,,2024-05-20 10:40:09
3000000,300000003420120001,2012-12-13,,폐업,2017-06-26,,,,0,,03036,피드미,배합,I,000,2026-05-03 22:33:43,"서울특별시 종로구 자하문로 55 (통인동, 효자아파트)",폐업,0002,03,,197332.868538775    ,453178.921125128    ,서울특별시 종로구 통인동 6-1 ,배합,사료제조업,,2017-06-26 16:25:53
3000000,300000003420130001,2013-07-25,,폐업,2017-11-09,,,,0,,03008,독스키친,단미,I,000,2026-05-03 22:33:43,"서울특별시 종로구 평창1길 7-3 (평창동, 보현빌 지하1층)",폐업,0002,03,,196727.319231551    ,455850.887104615    ,서울특별시 종로구 평창동 293-47 보현빌 지하1층 ,단미,사료제조업,,2017-11-14 15:12:50
3000000,300000003420170001,2017-04-11,,폐업,2021-12-18,,,,0,,03017,나니스펫푸드,단미,I,000,2026-05-03 22:33:43,"서울특별시 종로구 자하문로 298, 1층 (홍지동)",폐업,0002,03,,196404.037538194    ,455236.489252336    ,서울특별시 종로구 홍지동 103-24 ,단미,사료제조업,,2024-07-02 17:40:49
3000000,300000003420220001,2022-12-08,,폐업,2024-11-11,,,,0,,03007,콩지네 부엌,단미,I,000,2026-05-03 22:33:44,"서울특별시 종로구 진흥로 497, 1층 (신영동)",폐업,0002,03,,196532.869792779    ,455775.301893958    ,서울특별시 종로구 신영동 10-14 ,단미,사료제조업,,2024-11-11 10:58:01
3000000,300000003420190001,2019-03-22,,폐업,2020-02-29,,,,0,,03027,마켓조이,단미,I,000,2026-05-03 22:33:44,서울특별시 종로구 사직로9길 6 (필운동),폐업,0002,03,,197173.80667321     ,452691.564015693    ,서울특별시 종로구 필운동 137-3 ,단미,사료제조업,,2024-05-17 15:34:41
3000000,300000003420200001,2020-06-04,,폐업,2022-11-22,,,,0,,03058,Bite4Pet,단미,I,000,2026-05-03 22:33:44,서울특별시 종로구 창덕궁1길 3 (원서동),폐업,0002,03,,198953.459354045    ,452978.997843711    ,서울특별시 종로구 원서동 159 ,단미,사료제조업,,2022-11-22 11:33:35
3000000,300000003420200002,2020-07-23,,폐업,2022-11-22,,,,0,,03058,Bite4Pet,단미,I,000,2026-05-03 22:33:44,"서울특별시 종로구 창덕궁1길 3, B1층 (원서동)",폐업,0002,03,027444848,198953.459354045    ,452978.997843711    ,서울특별시 종로구 원서동 159 ,단미,사료제조업,,2022-11-22 11:34:32
3000000,300000003420210001,2021-04-02,,폐업,2024-11-15,,,,0,,03041,빵댕잇,단미,I,000,2026-05-03 22:33:44,"서울특별시 종로구 자하문로1길 49-24, 1층 (필운동)",폐업,0002,03,,197230.91066044     ,452686.167534065    ,서울특별시 종로구 필운동 144-3 ,단미,사료제조업,,2024-11-20 09:53:45
